     1→  1918→Task ID: AUDIT-5-i18n
     2→  1919→Agent: God Mode Audit Agent (i18n + fonts + layout)
     3→  1920→Task: Deep audit of i18n (translation keys, hardcoded EN/BN, numerals), premium fonts (loading, cascade, files, weights, display), and shared layout infrastructure (sticky footer, dark mode, analytics pixels, metadata, manifest, sitemap, robots).
     4→  1921→
     5→  1922→Work Log:
     6→  1923→- Read worklog.md (1007 lines) to understand all prior audit + fix history (Tasks 1, 2-a..2-d, 3-master-fixes, 3-landing-fixes, 4-verification). Previous work already removed 20 duplicate i18n keys (TS1117), added 9 missing chat.* keys, deleted 129 lines of dead duplicate types in site-data.ts. The codebase was reported clean (0 lint errors, 0 blocking TS errors).
     7→  1924→- Read in full: language-provider.tsx (1224 lines), site-data.ts (1118 lines), layout.tsx (341 lines), globals.css (294 lines), language-toggle.tsx, theme-toggle.tsx, theme-provider.tsx, navbar.tsx, footer.tsx, analytics-pixels.tsx, google-analytics.tsx, logo.tsx, top-bar.tsx, landing-common.tsx, ai-chat-widget.tsx, floating-buttons.tsx, hero.tsx, pain-points.tsx, cost-of-inaction.tsx, solution.tsx, how-it-works.tsx, services.tsx, why-choose-us.tsx, testimonials.tsx, pricing.tsx, lead-form.tsx, final-cta.tsx, faq.tsx, industries.tsx, page.tsx, sitemap.ts, robots.ts, manifest.ts, founder/page.tsx, founder/founder-client.tsx, services/[slug]/page.tsx, services/[slug]/landing-client.tsx, blog/page.tsx, case-studies/page.tsx.
     8→  1925→- Extracted all 358 unique `t('key')` calls across the codebase via ripgrep, filtered to 342 real dotted keys.
     9→  1926→- Programmatically verified EN and BN dictionaries each have 525 keys, 0 duplicates within each, 0 keys missing from the other dictionary. Both sides are symmetric (was already cleaned in Task 3).
    10→  1927→- Cross-referenced t() keys vs dictionary keys → 20 MISSING keys (mostly in orphan sections + faq.title).
    11→  1928→- Verified fonts via curl: MahfujLipi.ttf (303,168 bytes, 200 OK), ForzonDEMO-Italic.ttf (14,656 bytes, 200 OK). @font-face declarations present in compiled CSS at `/_next/static/chunks/[root-of-the-server]__f5d9dba9._.css`. unicode-range `U+0980-09FF, U+0964-0965, U+200C-200D, U+25CC` correctly covers Bengali block + numerals + danda + ZWNJ/ZWJ + dotted circle. font-display: swap on both faces.
    12→  1929→- Verified compiled CSS contains: `--font-sans: "NextGen Bangla", var(--font-inter), ...`, `--font-heading: "NextGen Bangla", var(--font-sora), var(--font-jakarta), ...`, `--font-display: "NextGen Display", "NextGen Bangla", var(--font-sora), ...`. Body class includes `font-body antialiased bg-background text-foreground` + Sora/Inter/Jakarta CSS variable classes. Cascade is CORRECT: Bengali font first via unicode-range, English fallback fonts after.
    13→  1930→- Ran `curl` against all critical assets and routes. ALL return 200 EXCEPT `/robots.txt` which returns HTTP 500 (CONFLICT between `public/robots.txt` static file and `src/app/robots.ts` route handler — Next.js refuses to serve either, breaking crawl rules for ALL search engines).
    14→  1931→- Verified sitemap.xml 200 (21 static routes), manifest.webmanifest 200 (icons SVG-only, no PNG), favicon.svg/icon.svg/apple-icon.png all 200.
    15→  1932→
    16→  1933→=== FINDINGS (32 issues, 4 P0/P1 critical, 28 P2) ===
    17→  1934→
    18→  1935→[I18N-001] [SEVERITY: P0] [TYPE: SEO/Layout]
    19→  1936→FILE: public/robots.txt + src/app/robots.ts
    20→  1937→LINE: public/robots.txt:1-15, src/app/robots.ts:3-50
    21→  1938→ISSUE: `/robots.txt` returns HTTP 500 — Next.js refuses to serve because a static public file AND a route handler both claim the path.
    22→  1939→EVIDENCE: `curl -s -o /dev/null -w "%{http_code}" http://localhost:3000/robots.txt` → 500. Error body: `"A conflicting public file and page file was found for path /robots.txt https://nextjs.org/docs/messages/conflicting-public-file-page"`. Search engines (Googlebot, Bingbot, GPTBot, ClaudeBot) cannot read crawl rules → entire site's robots policy is broken.
    23→  1940→FIX: Delete `public/robots.txt` (the static file is also INCOMPLETE — only lists Googlebot/Bingbot/Twitterbot/facebookexternalhit/*, missing the GPTBot/ClaudeBot/PerplexityBot/ChatGPT-User/Google-Extended rules that `src/app/robots.ts` correctly defines). Keep only `src/app/robots.ts`.
    24→  1941→
    25→  1942→[I18N-002] [SEVERITY: P1] [TYPE: MissingKey]
    26→  1943→FILE: src/components/site/sections/faq.tsx:33 + src/components/site/language-provider.tsx (dictionaries)
    27→  1944→LINE: faq.tsx:33 `{t('faq.title')}`
    28→  1945→ISSUE: `t('faq.title')` is called but ONLY `faq.title1` and `faq.title2` exist in dictionaries — `faq.title` is MISSING. The `t()` fallback returns the literal string `"faq.title"`.
    29→  1946→EVIDENCE: `rg "'faq\.title" src/components/site/language-provider.tsx` → only `faq.title1` / `faq.title2` defined (EN line 60, BN line 497). No `faq.title`. Currently FAQ section is orphan (not imported on homepage), so users don't see the broken string yet — but the section exists and would render `"faq.title"` if anyone imports it.
    30→  1947→FIX: Add `'faq.title': 'Frequently Asked Questions'` to EN and `'faq.title': 'প্রায়শই জিজ্ঞাসিত প্রশ্ন'` to BN. OR change faq.tsx:33 to `t('faq.title1') + ' ' + t('faq.title2')`.
    31→  1948→
    32→  1949→[I18N-003..006] [SEVERITY: P2] [TYPE: MissingKey]
    33→  1950→FILE: src/components/site/sections/{aspirational-vision,competitor-fomo,system-toolkit,numbers}.tsx
    34→  1951→ISSUE: 19 missing keys across 4 orphan section files (aspire.eyebrow, aspire.title1, aspire.title2, aspire.subtitle, aspire.thisIsNot, aspire.makeItReal; competitor.eyebrow, competitor.title1, competitor.title2, competitor.subtitle, competitor.question, competitor.catchUp; toolkit.eyebrow, toolkit.title1, toolkit.title2, toolkit.subtitle; numbers.eyebrow, numbers.title, numbers.subtitle). All return literal key strings as fallback. Sections are NOT imported on the homepage (verified via `rg "from '@/components/site/sections/(aspirational-vision|competitor-fomo|system-toolkit|numbers)'" src` → 0 hits).
    35→  1952→EVIDENCE: 19 keys appear in `t('...')` calls but not in either dictionary (verified via Python cross-reference: `missing = real_used - dict_keys`).
    36→  1953→FIX: Either delete the 4 orphan section files (recommended — they're dead code), OR add the 19 keys to both EN and BN dictionaries.
    37→  1954→
    38→  1955→[I18N-007] [SEVERITY: P1] [TYPE: A11y/SEO]
    39→  1956→FILE: src/components/site/language-provider.tsx:1185-1205
    40→  1957→LINE: 1189-1195 (useEffect on mount), 1197-1201 (setLang)
    41→  1958→ISSUE: On initial client mount, the provider reads saved language from localStorage and calls `setLangState(saved)` — but does NOT call `setLang(saved)`. So `document.documentElement.lang` stays at the hardcoded `"en"` from layout.tsx:292 even when BN is the active language.
    42→  1959→EVIDENCE: layout.tsx renders `<html lang="en">`. provider's setLang updates `document.documentElement.lang` but is only called when user clicks the toggle, not on initial hydration. Result: screen readers pronounce Bengali content as English; search engines index the page as English-only.
    43→  1960→FIX: In the useEffect, call `setLang(saved)` (not just `setLangState(saved)`) so the html lang attribute updates on mount. OR add `document.documentElement.lang = saved` inside the useEffect.
    44→  1961→
    45→  1962→[I18N-008] [SEVERITY: P1] [TYPE: Mismatch]
    46→  1963→FILE: src/components/site/language-provider.tsx
    47→  1964→LINE: EN:258 `'hero.trust2': 'Trusted by 50+ BD businesses'` vs EN:30 `'hero.trustedBy': 'Trusted by 120+ leading businesses across Bangladesh'`
    48→  1965→ISSUE: Internal content inconsistency — two different "trusted by" counts in the EN dictionary itself (50+ vs 120+). The hero.trust2 badge is rendered in hero.tsx (homepage) while hero.trustedBy is used in client-logos.tsx (orphan section, currently unused).
    49→  1966→EVIDENCE: Same EN dictionary, two conflicting numbers for the same concept.
    50→  1967→FIX: Standardize on 120+ (matches TESTIMONIALS, byNumbers, founder page stats). Update `hero.trust2` to `'Trusted by 120+ BD businesses'`.
    51→  1968→
    52→  1969→[I18N-009] [SEVERITY: P2] [TYPE: HardcodedEN]
    53→  1970→FILE: src/components/site/footer.tsx:292
    54→  1971→LINE: `© {year} NextGen Digital Studio. {t('footer.rights')}`
